"id";"name";"genitive";"locativus";"level";"parent";"children";"neighbours";"RSPOstateId";"RSPOdistrictId"
"300300";"Powiat gnieźnieński";"powiatu gnieźnieńskiego";"powiecie gnieźnieńskim";"p";"300000";;"302100,040900,302800,303000,041900,302300";15;326
"300400";"Powiat gostyński";"powiatu gostyńskiego";"powiecie gostyńskim";"p";"300000";;"302200,301100,301200,301300,302600,300600";15;327
"300500";"Powiat grodziski";"powiatu grodziskiego";"powiecie grodziskim";"p";"300000";;"302100,301100,301500,302900";15;328
"300600";"Powiat jarociński";"powiatu jarocińskiego";"powiecie jarocińskim";"p";"300000";;"302000,301200,303000,302500,302600,300400";15;329
"300700";"Powiat kaliski";"powiatu kaliskiego";"powiecie kaliskim";"p";"300000";;"302000,301000,301700,301800,302700,101400,306100";15;330
"300800";"Powiat kępiński";"powiatu kępińskiego";"powiecie kępińskim";"p";"300000";;"160400,160600,021400,301800,101800";15;331
"300900";"Powiat kolski";"powiatu kolskiego";"powiecie kolskim";"p";"300000";;"101100,041100,301000,100200,100400,302700,041800";15;332
"301000";"Powiat koniński";"powiatu konińskiego";"powiecie konińskim";"p";"300000";;"302000,041100,300900,306200,040900,302700,302300,040700,300700";15;333
"301100";"Powiat kościański";"powiatu kościańskiego";"powiecie kościańskim";"p";"300000";;"302100,301300,302900,302600,300400,300500";15;334
"301200";"Powiat krotoszyński";"powiatu krotoszyńskiego";"powiecie krotoszyńskim";"p";"300000";;"302000,302200,021300,301700,300400,300600";15;335
"301300";"Powiat leszczyński";"powiatu leszczyńskiego";"powiecie leszczyńskim";"p";"300000";;"302200,301100,306300,302900,081200,300400,020400";15;336
"301400";"Powiat międzychodzki";"powiatu międzychodzkiego";"powiecie międzychodzkim";"p";"300000";;"080300,301500,080600,302400,300200";15;337
"301500";"Powiat nowotomyski";"powiatu nowotomyskiego";"powiecie nowotomyskim";"p";"300000";;"302100,301400,080300,302900,080900,302400,080800,300500";15;338
"301600";"Powiat obornicki";"powiatu obornickiego";"powiecie obornickim";"p";"300000";;"302100,302800,302400,300200,300100";15;339
"301700";"Powiat ostrowski";"powiatu ostrowskiego";"powiecie ostrowskim";"p";"300000";;"302000,301200,021300,021400,301800,300700,306100";15;340
"301800";"Powiat ostrzeszowski";"powiatu ostrzeszowskiego";"powiecie ostrzeszowskim";"p";"300000";;"300800,021400,301700,101800,101400,300700";15;341
"301900";"Powiat pilski";"powiatu pilskiego";"powiecie pilskim";"p";"300000";;"041000,321700,302800,303100,041300,300200,300100";15;342
"302000";"Powiat pleszewski";"powiatu pleszewskiego";"powiecie pleszewskim";"p";"300000";;"301000,301200,301700,303000,302300,300600,300700,306100";15;343
"302100";"Powiat poznański";"powiatu poznańskiego";"powiecie poznańskim";"p";"300000";;"306400,301100,301500,301600,302800,303000,302400,302500,302600,300300,300500";15;344
"302200";"Powiat rawicki";"powiatu rawickiego";"powiecie rawickim";"p";"300000";;"301200,301300,021300,022000,300400,020400";15;345
"302300";"Powiat słupecki";"powiatu słupeckiego";"powiecie słupeckim";"p";"300000";;"302000,301000,040900,303000,300300";15;346
"302400";"Powiat szamotulski";"powiatu szamotulskiego";"powiecie szamotulskim";"p";"300000";;"302100,301400,301500,301600,300200";15;347
"302500";"Powiat średzki";"powiatu średzkiego";"powiecie średzkim";"p";"300000";;"302100,303000,302600,300600";15;348
"302600";"Powiat śremski";"powiatu śremskiego";"powiecie śremskim";"p";"300000";;"302100,301100,302500,300400,300600";15;349
"302700";"Powiat turecki";"powiatu tureckiego";"powiecie tureckim";"p";"300000";;"101100,300900,301000,101400,300700";15;350
"302800";"Powiat wągrowiecki";"powiatu wągrowieckiego";"powiecie wągrowieckim";"p";"300000";;"301900,302100,041000,301600,041900,300300,300100";15;351
"302900";"Powiat wolsztyński";"powiatu wolsztyńskiego";"powiecie wolsztyńskim";"p";"300000";;"301100,301300,080400,301500,081200,080900,300500";15;352
"303000";"Powiat wrzesiński";"powiatu wrzesińskiego";"powiecie wrzesińskim";"p";"300000";;"302000,302100,302300,302500,300300,300600";15;353
